AvgDurEmp;AvgTimeFillVac;InvAdjTime;LabAdjTime;ManCycTime;MinOrdProTime;Productivity;SafStoCov;StdWorkWeek;VacAdjTime;WIPAdjTime;penalty
103.5574;8.0992;13.2792;16.4854;8.1307;1.8118;0.2558;1.9065;41.5969;4.3929;6.8657;9.707965868
97.4917;8.362;11.3535;15.1761;6.6745;2.2033;0.2402;2.1242;37.7768;4.0144;6.0302;9.861781883
94.1172;8.2093;12.4749;22.4759;8.09;2.1976;0.2525;2.1987;46.2692;3.5369;4.8483;9.805585092
98.5972;6.8932;11.1151;17.5697;8.2909;1.7666;0.2443;1.9145;42.5019;4.4981;6.0293;10.08185556
96.9949;8.6885;12.3142;22.7092;5.8357;1.7905;0.2356;2.1366;38.37;3.5829;6.1521;9.320085108
89.8518;8.1889;14.5488;19.1094;9.6555;2.1708;0.2393;2.4144;33.5306;5.1496;5.8795;9.879960292
120.4861;9.6892;13.9472;14.487;6.8617;1.9302;0.2659;2.0799;44.0498;3.9289;5.623;10.04161449
81.988;9.5593;10.0593;21.5887;9.2538;2.0668;0.2285;2.1748;39.6311;4.7352;5.1392;11.01177578
89.3217;7.5306;11.0511;20.7046;9.0249;2.3896;0.2926;1.873;52.5932;4.7184;7.9126;10.11211032
92.2917;7.1795;12.3611;17.6386;8.7342;1.9933;0.3042;1.9564;28.2778;4.5217;4.4012;10.22545849
118.4814;8.0139;9.8455;18.0477;7.9957;2.1474;0.1908;2.4399;46.916;4.0573;5.2359;10.98147628
101.8217;6.8502;13.8352;22.9215;5.9214;2.2158;0.1809;1.5869;49.3181;3.1729;7.3674;9.208109789
80.3319;8.3262;9.0385;16.382;6.5392;2.4938;0.1887;1.973;38.1907;3.8047;7.4582;10.041673
118.542;10.4673;10.7941;18.5314;6.9571;1.8329;0.196;1.8181;34.2409;3.3826;7.675;10.13857149
71.5999;6.3997;12.6742;24.8123;6.6276;2.1696;0.2224;1.8395;34.8783;4.5768;5.964;9.314726534
114.3748;8.4685;15.0742;17.2506;10.5488;2.0265;0.2135;1.9878;32.4932;3.622;4.8104;10.53660816
126.4663;5.4884;14.3842;23.9741;9.4501;2.512;0.2979;1.7859;42.7863;4.0886;5.7812;9.744319966
110.5673;9.2907;11.7822;24.4517;8.0011;1.5741;0.2871;2.3967;39.186;4.8919;5.8084;10.23261388
108.4367;10.0827;15.5131;12.8804;4.9855;2.4013;0.2785;1.3447;39.9584;4.2518;4.6402;9.491553983
125.9124;7.2607;13.4726;15.6484;8.1884;2.5558;0.2335;1.9468;47.8388;4.2963;7.1462;9.910830439
85.8456;9.5703;10.5543;16.9736;7.8573;1.4891;0.2209;2.5541;48.9942;4.9895;4.2206;10.95837455
